,carat,cut,color,clarity,depth,table,price,volume
0,1.21,Premium,J,VS2,62.4,58.0,4268,0.34472934472934474
1,0.32,Very Good,H,VS2,63.0,57.0,505,0.09116809116809116
2,0.71,Fair,G,VS1,65.5,55.0,2686,0.2022792022792023
3,0.41,Good,D,SI1,63.8,56.0,738,0.1168091168091168
4,1.02,Ideal,G,SI1,60.5,59.0,4882,0.2905982905982906
5,1.52,Ideal,F,SI2,61.2,57.0,9057,0.4330484330484331
6,1.01,Fair,H,VS2,65.2,56.0,3733,0.28774928774928776
7,1.52,Ideal,J,VS1,62.3,58.0,8608,0.4330484330484331
8,0.31,Ideal,H,VS1,61.8,54.2,557,0.08831908831908833
9,1.14,Ideal,G,SI1,61.7,56.0,6741,0.3247863247863248
10,0.44,Premium,E,SI1,62.3,59.0,1040,0.12535612535612534
11,1.02,Premium,I,SI1,58.0,58.0,4284,0.2905982905982906
12,0.93,Ideal,I,SI2,62.3,57.0,3101,0.26495726495726496
13,1.51,Premium,G,VS1,60.1,58.0,14507,0.43019943019943024
14,1.65,Ideal,H,SI2,61.6,55.0,10349,0.4700854700854701
15,1.5,Good,G,SI2,57.5,63.0,6006,0.4273504273504274
16,0.43,Ideal,D,VS1,62.1,56.0,1207,0.1225071225071225
17,0.38,Premium,G,VS2,60.8,61.0,983,0.10826210826210828
18,0.85,Ideal,I,VS1,61.9,56.0,3548,0.24216524216524216
19,1.53,Premium,D,SI2,60.7,60.0,11078,0.435897435897436
20,1.54,Premium,H,VS2,61.0,60.0,11177,0.4387464387464388
21,0.71,Premium,G,SI2,62.0,59.0,1740,0.2022792022792023
22,0.3,Very Good,G,VS1,61.7,56.0,605,0.08547008547008547
23,1.3,Ideal,G,IF,61.3,56.0,12932,0.3703703703703704
24,0.3,Premium,G,SI1,62.9,59.0,574,0.08547008547008547
25,1.0,Ideal,I,SI2,61.7,56.0,2873,0.2849002849002849
26,1.0,Premium,G,VS2,61.6,54.0,6216,0.2849002849002849
27,0.9,Premium,D,SI1,61.7,56.0,3568,0.25641025641025644
28,1.55,Very Good,H,SI1,63.2,57.0,7066,0.4415954415954416
29,1.01,Premium,H,SI2,61.1,60.0,3054,0.28774928774928776
30,1.16,Premium,G,SI2,62.5,58.0,4969,0.3304843304843305
31,0.35,Ideal,H,VVS1,62.0,53.9,743,0.09971509971509973
32,0.97,Ideal,H,VVS1,60.4,57.0,6801,0.2763532763532764
33,1.19,Ideal,E,SI2,60.2,57.0,5717,0.33903133903133903
34,0.7,Very Good,H,VS1,62.1,56.0,2422,0.19943019943019946
35,0.8,Very Good,H,SI1,63.2,54.0,2553,0.22792022792022795
36,2.0,Premium,I,SI2,61.3,59.0,14208,0.5698005698005698
37,0.71,Very Good,E,VS2,63.5,59.0,2858,0.2022792022792023
38,1.0,Premium,F,SI1,60.3,58.0,5292,0.2849002849002849
39,0.5,Ideal,E,SI2,62.4,57.0,1240,0.14245014245014245
40,0.51,Ideal,G,VVS2,61.3,57.0,1875,0.1452991452991453
41,1.04,Premium,G,SI2,62.2,59.0,3861,0.29629629629629634
42,0.64,Ideal,G,VVS2,61.8,54.0,2587,0.18233618233618235
43,0.8,Ideal,E,VS2,62.2,57.0,3648,0.22792022792022795
44,0.3,Ideal,D,SI1,61.9,56.0,552,0.08547008547008547
45,0.38,Premium,E,VS2,61.8,58.0,866,0.10826210826210828
46,0.31,Ideal,G,VS1,62.1,55.0,625,0.08831908831908833
47,1.0,Fair,H,SI1,55.2,64.0,3830,0.2849002849002849
48,0.78,Ideal,G,VS2,61.7,55.0,3184,0.22222222222222224
49,1.0,Very Good,D,SI1,59.8,59.0,5671,0.2849002849002849
50,0.7,Very Good,H,VS1,60.3,63.0,2399,0.19943019943019946
51,0.64,Very Good,F,SI1,60.7,59.0,1688,0.18233618233618235
52,0.31,Ideal,I,VS1,61.3,55.6,513,0.08831908831908833
53,0.52,Ideal,G,VS2,61.9,55.0,1549,0.14814814814814814
54,0.33,Ideal,E,VS1,62.6,57.0,1002,0.09401709401709404
55,0.3,Very Good,H,VVS1,63.4,57.0,878,0.08547008547008547
56,1.0,Good,J,SI1,63.9,60.0,3679,0.2849002849002849
57,0.3,Ideal,E,I1,60.3,57.0,495,0.08547008547008547
58,0.47,Premium,H,VS1,61.8,58.0,1221,0.1339031339031339
59,1.59,Ideal,H,VS1,60.7,56.0,13839,0.452991452991453
60,1.01,Good,G,SI1,63.7,60.0,5113,0.28774928774928776
