,carat,cut,color,clarity,depth,table,volume
0,0.79,Very Good,F,SI1,62.7,60.0,0.2250712250712251
1,1.2,Ideal,J,VS1,61.0,57.0,0.3418803418803419
2,1.57,Premium,H,SI1,62.2,61.0,0.44729344729344733
3,0.9,Very Good,F,SI1,63.8,54.0,0.25641025641025644
4,0.5,Very Good,F,VS1,62.9,58.0,0.14245014245014245
5,1.01,Premium,F,VS2,61.3,61.0,0.28774928774928776
6,1.04,Premium,H,SI1,61.0,58.0,0.29629629629629634
7,0.91,Good,D,SI1,63.1,61.0,0.2592592592592593
8,1.13,Ideal,I,VS2,62.2,55.0,0.32193732193732194
9,1.61,Ideal,F,VS2,62.9,56.0,0.45868945868945876
10,1.06,Very Good,I,SI1,60.2,59.0,0.30199430199430205
11,0.3,Premium,D,VS2,62.5,58.0,0.08547008547008547
12,0.53,Ideal,D,VVS1,62.1,57.0,0.15099715099715103
13,0.52,Premium,D,SI1,59.7,60.0,0.14814814814814817
14,0.73,Premium,F,SI1,61.2,60.0,0.20797720797720798
15,0.42,Ideal,D,VS1,62.1,56.0,0.11965811965811966
16,0.5,Ideal,G,VS2,61.6,55.0,0.14245014245014245
17,0.9,Very Good,G,SI1,62.2,58.0,0.25641025641025644
18,1.02,Very Good,H,SI2,59.7,58.0,0.2905982905982906
19,0.31,Ideal,F,VVS1,61.6,56.0,0.08831908831908833
20,0.7,Ideal,I,SI1,62.6,54.0,0.19943019943019943
21,1.2,Ideal,J,VS2,61.6,54.0,0.3418803418803419
22,1.0,Fair,F,SI1,65.8,58.0,0.2849002849002849
23,0.3,Very Good,H,VVS2,61.5,57.0,0.08547008547008547
24,2.02,Very Good,G,SI2,62.8,55.0,0.5754985754985755
25,0.5,Very Good,J,VS1,61.4,57.8,0.14245014245014245
26,0.36,Ideal,H,SI1,62.3,57.0,0.10256410256410256
27,0.42,Ideal,G,VS1,62.0,55.0,0.11965811965811966
28,0.5,Very Good,F,VS1,59.9,61.0,0.14245014245014245
29,0.4,Premium,E,SI1,62.0,55.0,0.11396011396011398
30,1.62,Good,I,VS1,59.6,65.0,0.4615384615384616
31,0.3,Premium,D,SI2,62.4,59.0,0.08547008547008547
32,1.0,Very Good,F,SI2,63.3,58.0,0.2849002849002849
33,0.32,Premium,D,SI1,62.2,60.0,0.09116809116809117
34,0.27,Very Good,D,VVS1,62.3,54.0,0.07692307692307693
35,0.71,Very Good,F,SI1,62.1,58.0,0.2022792022792023
36,1.5,Fair,I,SI2,64.9,61.0,0.4273504273504274
37,0.9,Good,J,SI1,64.0,61.0,0.25641025641025644
38,0.71,Premium,D,SI1,60.5,59.0,0.2022792022792023
39,0.32,Premium,F,VS2,61.5,58.0,0.09116809116809117
40,0.23,Very Good,E,VVS2,62.4,59.0,0.06552706552706554
41,1.21,Ideal,G,VS1,61.8,57.0,0.34472934472934474
42,0.31,Very Good,E,VVS1,60.3,57.0,0.08831908831908833
43,0.61,Good,H,VS1,60.1,60.3,0.1737891737891738
44,1.31,Ideal,G,VS1,62.0,53.0,0.37321937321937326
45,0.7,Good,E,SI1,61.4,64.0,0.19943019943019943
46,0.38,Ideal,D,VS2,60.7,56.0,0.10826210826210828
47,0.3,Ideal,D,VS2,62.0,55.0,0.08547008547008547
48,0.53,Good,H,SI1,63.7,55.0,0.15099715099715103
49,0.77,Very Good,H,VS1,62.2,57.0,0.21937321937321938
50,0.34,Ideal,F,SI1,61.1,56.0,0.09686609686609687
51,1.01,Premium,H,SI1,61.8,59.0,0.28774928774928776
52,0.71,Very Good,E,VS2,59.6,60.0,0.2022792022792023
53,1.21,Ideal,F,SI1,61.1,55.0,0.34472934472934474
54,1.21,Premium,F,SI2,61.5,57.0,0.34472934472934474
55,0.56,Ideal,G,VVS1,62.3,55.0,0.15954415954415957
56,1.58,Premium,J,VVS2,61.0,58.0,0.4501424501424502
57,0.53,Ideal,E,VVS2,60.5,57.0,0.15099715099715103
58,1.02,Good,E,SI2,63.3,59.0,0.2905982905982906
59,0.58,Ideal,D,VVS2,63.0,56.0,0.16524216524216523
60,0.54,Ideal,F,SI2,61.1,56.0,0.15384615384615385
61,0.23,Very Good,E,VVS1,62.1,58.0,0.06552706552706554
62,1.01,Premium,D,VS2,60.0,59.0,0.28774928774928776
63,0.31,Ideal,E,IF,60.4,56.0,0.08831908831908833
64,1.52,Premium,I,SI1,61.9,58.0,0.4330484330484331
65,2.02,Very Good,H,VS2,61.5,59.0,0.5754985754985755
66,0.36,Premium,F,VS1,60.7,58.0,0.10256410256410256
67,2.01,Ideal,J,SI2,60.8,57.0,0.5726495726495726
68,1.01,Very Good,H,VS1,59.1,59.0,0.28774928774928776
69,1.08,Ideal,G,IF,61.3,57.0,0.3076923076923077
70,0.33,Very Good,I,SI1,61.4,58.0,0.09401709401709403
71,0.31,Premium,G,VS1,62.2,58.0,0.08831908831908833
72,0.4,Premium,G,SI1,61.1,61.0,0.11396011396011398
73,0.48,Ideal,I,VVS2,62.1,56.0,0.13675213675213677
74,1.0,Ideal,F,SI1,62.7,57.0,0.2849002849002849
75,0.51,Ideal,G,VVS2,62.7,55.0,0.1452991452991453
76,1.2,Very Good,F,VS2,61.1,59.0,0.3418803418803419
77,1.51,Very Good,E,VS2,63.3,56.0,0.43019943019943024
78,0.71,Ideal,E,SI1,61.6,53.0,0.2022792022792023
79,1.01,Very Good,G,VS1,63.1,55.0,0.28774928774928776
80,1.51,Premium,H,VS1,61.8,59.0,0.43019943019943024
81,0.58,Ideal,F,VS1,61.2,57.0,0.16524216524216523
82,1.62,Ideal,G,VS2,61.7,56.0,0.4615384615384616
83,1.02,Premium,E,VS2,62.8,59.0,0.2905982905982906
84,0.34,Ideal,F,VVS2,61.8,56.0,0.09686609686609687
85,1.51,Good,I,SI1,63.7,61.0,0.43019943019943024
86,0.34,Ideal,E,VVS1,61.9,56.0,0.09686609686609687
87,1.7,Very Good,H,VS2,61.9,60.0,0.48433048433048437
88,1.57,Premium,F,SI2,60.2,60.0,0.44729344729344733
89,1.75,Very Good,E,SI1,60.3,61.0,0.4985754985754986
90,1.13,Ideal,F,SI2,61.8,57.0,0.32193732193732194
91,0.41,Ideal,G,IF,61.7,56.0,0.1168091168091168
92,0.34,Ideal,G,IF,62.1,54.0,0.09686609686609687
93,0.31,Ideal,F,VVS2,61.2,56.0,0.08831908831908833
94,5.01,Fair,J,I1,65.5,59.0,1.4273504273504274
95,0.23,Good,E,VVS1,56.3,62.0,0.06552706552706554
96,1.52,Premium,E,VS2,61.8,59.0,0.4330484330484331
97,2.04,Ideal,I,SI1,62.8,57.0,0.5811965811965812
98,1.65,Very Good,H,VS1,62.0,56.0,0.4700854700854701
99,0.3,Very Good,G,VS1,63.1,58.0,0.08547008547008547
100,0.67,Good,E,VS1,60.4,65.0,0.19088319088319092
101,0.3,Ideal,G,VS1,61.4,55.0,0.08547008547008547
102,0.34,Premium,H,VS2,61.9,56.0,0.09686609686609687
103,0.27,Ideal,H,VS2,61.8,56.0,0.07692307692307693
104,0.5,Ideal,I,SI1,61.5,54.0,0.14245014245014245
105,0.51,Premium,E,VS2,61.7,58.0,0.1452991452991453
106,0.46,Ideal,D,VS2,62.4,56.0,0.13105413105413108
107,0.32,Premium,H,VVS2,61.6,55.0,0.09116809116809117
108,0.48,Premium,F,SI1,60.6,62.0,0.13675213675213677
109,0.31,Ideal,F,VS2,61.6,55.0,0.08831908831908833
110,0.3,Good,E,VS2,59.7,63.0,0.08547008547008547
111,0.43,Premium,G,VS1,61.0,58.0,0.1225071225071225
112,0.7,Good,H,SI2,63.8,57.0,0.19943019943019943
113,0.5,Ideal,E,VS2,61.3,57.0,0.14245014245014245
114,0.6,Fair,G,SI1,65.7,55.0,0.17094017094017094
115,1.05,Ideal,H,SI1,60.8,56.0,0.2991452991452992
116,1.02,Premium,F,SI1,60.1,60.0,0.2905982905982906
117,2.28,Ideal,I,SI2,62.9,57.0,0.6495726495726496
118,0.27,Very Good,E,VS2,59.5,56.0,0.07692307692307693
119,2.0,Ideal,F,SI2,62.0,57.0,0.5698005698005698
120,0.5,Fair,F,VS2,64.6,58.0,0.14245014245014245
121,0.5,Premium,F,VS1,62.0,58.0,0.14245014245014245
122,0.45,Good,E,VS1,61.7,63.0,0.12820512820512822
123,0.26,Premium,E,VS1,60.1,60.0,0.07407407407407408
124,0.3,Premium,D,SI1,58.8,57.0,0.08547008547008547
125,0.61,Ideal,J,VS2,59.7,59.0,0.1737891737891738
126,0.53,Very Good,G,SI2,60.0,56.0,0.15099715099715103
127,1.25,Ideal,E,VVS2,60.9,60.0,0.3561253561253562
128,1.0,Ideal,E,SI1,62.7,57.0,0.2849002849002849
129,1.06,Ideal,I,VS2,61.6,57.0,0.30199430199430205
130,1.21,Ideal,D,SI2,62.0,57.0,0.34472934472934474
131,1.0,Good,J,SI2,57.8,61.0,0.2849002849002849
132,1.04,Premium,G,VS1,61.5,61.0,0.29629629629629634
133,0.36,Ideal,G,IF,61.7,56.0,0.10256410256410256
134,1.0,Fair,J,VS1,65.5,55.0,0.2849002849002849
135,0.43,Ideal,E,VS2,62.1,56.0,0.1225071225071225
136,0.33,Very Good,G,VS2,61.5,59.4,0.09401709401709403
137,1.0,Premium,G,VVS2,61.6,61.0,0.2849002849002849
138,0.3,Ideal,H,VS1,61.4,54.0,0.08547008547008547
139,1.02,Ideal,H,SI2,62.4,55.0,0.2905982905982906
140,0.37,Ideal,I,IF,61.4,55.0,0.10541310541310542
141,0.41,Ideal,I,VVS2,62.3,56.0,0.1168091168091168
142,0.81,Ideal,E,SI1,61.9,55.0,0.2307692307692308
143,0.9,Ideal,J,IF,62.2,57.0,0.25641025641025644
144,0.31,Premium,G,VS1,61.2,60.0,0.08831908831908833
145,1.28,Premium,I,VS2,61.7,60.0,0.3646723646723647
146,2.14,Ideal,I,VS2,62.2,57.0,0.6096866096866097
147,1.03,Premium,F,SI1,60.9,60.0,0.2934472934472935
148,0.74,Very Good,D,SI2,61.4,57.0,0.21082621082621084
149,0.7,Very Good,I,SI2,62.4,58.0,0.19943019943019943
150,0.96,Ideal,I,I1,62.0,56.0,0.27350427350427353
151,0.53,Ideal,E,VS2,61.7,58.0,0.15099715099715103
152,1.63,Premium,F,SI1,59.7,62.0,0.46438746438746437
153,0.81,Very Good,E,SI2,63.7,57.0,0.2307692307692308
154,0.37,Premium,I,VS2,61.6,60.0,0.10541310541310542
155,2.0,Very Good,H,SI2,63.0,59.0,0.5698005698005698
156,1.21,Good,G,I1,64.0,59.0,0.34472934472934474
157,0.7,Ideal,E,VS2,62.6,57.0,0.19943019943019943
158,1.01,Premium,H,SI2,61.5,60.0,0.28774928774928776
159,0.36,Ideal,D,VS2,62.0,54.0,0.10256410256410256
160,1.55,Premium,J,VS2,60.7,59.0,0.4415954415954416
161,1.25,Ideal,E,VS2,60.7,56.0,0.3561253561253562
162,0.33,Premium,D,SI1,60.3,58.0,0.09401709401709403
163,0.26,Ideal,E,VVS2,62.3,57.0,0.07407407407407408
164,1.04,Very Good,E,SI1,59.6,59.0,0.29629629629629634
165,1.02,Ideal,D,VVS2,62.0,56.0,0.2905982905982906
166,0.71,Ideal,G,VS1,61.5,56.0,0.2022792022792023
167,0.92,Good,F,VS2,63.1,57.0,0.26210826210826216
168,0.71,Premium,D,VS1,59.2,59.0,0.2022792022792023
169,1.91,Good,I,SI2,62.8,58.0,0.5441595441595442
170,0.33,Ideal,G,VS1,61.1,55.0,0.09401709401709403
171,0.5,Premium,G,VS1,62.5,60.0,0.14245014245014245
172,1.13,Premium,E,SI2,59.4,62.0,0.32193732193732194
173,0.51,Very Good,G,IF,63.8,58.0,0.1452991452991453
174,1.01,Ideal,G,VS2,61.6,56.0,0.28774928774928776
175,0.56,Ideal,F,VS2,60.8,56.0,0.15954415954415957
176,1.01,Ideal,I,SI1,62.4,56.0,0.28774928774928776
177,0.7,Very Good,E,VVS2,61.5,58.0,0.19943019943019943
178,0.7,Very Good,F,VS2,61.7,58.0,0.19943019943019943
179,0.96,Premium,H,SI2,59.2,61.0,0.27350427350427353
180,0.9,Very Good,F,SI2,63.1,56.0,0.25641025641025644
181,0.64,Good,E,SI2,56.6,59.0,0.18233618233618235
182,0.31,Ideal,F,IF,61.8,54.0,0.08831908831908833
183,0.51,Very Good,G,VS1,62.7,58.0,0.1452991452991453
184,0.31,Ideal,E,VS2,61.5,56.0,0.08831908831908833
185,1.0,Premium,G,SI2,62.7,59.0,0.2849002849002849
186,0.4,Premium,F,VS2,59.3,59.0,0.11396011396011398
187,0.38,Ideal,F,VS2,62.1,53.8,0.10826210826210828
188,0.23,Very Good,E,VVS2,64.1,58.0,0.06552706552706554
189,0.55,Ideal,G,VS1,61.5,57.0,0.1566951566951567
190,0.55,Ideal,F,VVS2,62.4,55.0,0.1566951566951567
191,0.33,Ideal,H,VVS2,61.6,55.0,0.09401709401709403
192,0.35,Ideal,F,VS2,62.3,55.0,0.09971509971509972
193,1.0,Ideal,G,VS2,60.5,56.0,0.2849002849002849
194,0.95,Very Good,D,SI2,60.1,61.0,0.2706552706552707
195,0.7,Ideal,I,VS2,61.4,56.0,0.19943019943019943
196,0.31,Ideal,F,VS2,61.9,55.0,0.08831908831908833
197,1.55,Premium,G,VS2,60.5,60.0,0.4415954415954416
198,0.32,Premium,H,VS2,60.6,58.0,0.09116809116809117
199,1.24,Ideal,F,VS2,61.4,57.0,0.3532763532763533
200,1.42,Fair,G,VS2,59.6,66.0,0.4045584045584046
201,1.08,Ideal,H,VS1,62.0,55.0,0.3076923076923077
202,0.3,Very Good,I,VVS1,63.1,57.0,0.08547008547008547
203,0.43,Ideal,E,SI2,61.9,57.0,0.1225071225071225
204,1.0,Very Good,F,VS2,61.6,56.0,0.2849002849002849
205,1.06,Premium,J,SI2,61.3,60.0,0.30199430199430205
206,0.31,Very Good,G,VS1,60.5,57.0,0.08831908831908833
207,0.71,Very Good,F,VS1,62.2,58.0,0.2022792022792023
208,0.31,Premium,F,IF,61.6,58.0,0.08831908831908833
209,1.61,Premium,H,SI2,60.3,60.0,0.45868945868945876
210,0.7,Very Good,D,SI1,61.1,58.0,0.19943019943019943
211,1.18,Ideal,I,VVS1,59.7,54.0,0.33618233618233617
212,1.51,Ideal,H,VS2,62.5,55.0,0.43019943019943024
213,0.3,Premium,J,VS1,62.6,58.0,0.08547008547008547
214,0.53,Very Good,I,VS2,60.3,60.1,0.15099715099715103
215,0.3,Ideal,F,IF,62.5,54.0,0.08547008547008547
216,0.72,Ideal,I,VVS2,61.6,57.0,0.20512820512820512
217,0.7,Premium,E,SI1,61.0,58.0,0.19943019943019943
218,0.43,Ideal,I,VS1,62.2,53.0,0.1225071225071225
219,0.72,Good,F,I1,63.6,58.0,0.20512820512820512
220,1.0,Premium,J,I1,58.3,58.0,0.2849002849002849
221,0.61,Ideal,G,VS1,62.1,56.0,0.1737891737891738
222,1.21,Ideal,F,VS2,61.3,56.0,0.34472934472934474
223,0.39,Ideal,D,VS1,61.8,57.0,0.11111111111111112
224,0.43,Premium,F,VVS2,61.6,60.0,0.1225071225071225
225,1.01,Ideal,I,SI1,60.0,60.0,0.28774928774928776
226,0.9,Good,I,VVS2,64.8,55.0,0.25641025641025644
227,0.7,Premium,F,SI2,62.9,60.0,0.19943019943019943
228,1.31,Very Good,I,VS2,61.2,58.0,0.37321937321937326
229,0.58,Ideal,G,VS1,62.2,55.0,0.16524216524216523
230,1.01,Very Good,F,SI1,62.4,59.0,0.28774928774928776
231,0.52,Premium,E,SI1,61.8,60.0,0.14814814814814817
232,0.34,Good,D,VVS1,57.4,62.0,0.09686609686609687
233,0.5,Ideal,F,VS2,62.4,56.0,0.14245014245014245
234,0.34,Ideal,D,VS2,62.9,55.0,0.09686609686609687
235,1.5,Ideal,G,SI2,60.5,57.0,0.4273504273504274
236,0.4,Ideal,D,VVS2,62.2,55.0,0.11396011396011398
237,0.43,Premium,D,SI1,62.4,60.0,0.1225071225071225
238,1.01,Good,I,VS1,64.2,60.0,0.28774928774928776
239,1.02,Very Good,G,IF,62.3,59.0,0.2905982905982906
240,1.27,Very Good,I,VS2,59.2,60.0,0.36182336182336183
241,0.36,Premium,E,VS2,62.0,58.0,0.10256410256410256
242,2.01,Ideal,I,SI1,62.3,57.0,0.5726495726495726
243,1.01,Premium,E,SI2,62.5,60.0,0.28774928774928776
244,0.31,Good,D,SI2,63.7,58.0,0.08831908831908833
245,0.41,Ideal,F,VS2,62.3,57.0,0.1168091168091168
246,0.71,Ideal,I,VVS2,62.2,54.0,0.2022792022792023
247,1.1,Premium,G,VS1,58.4,60.0,0.3133903133903134
248,1.22,Ideal,E,VS1,61.8,56.0,0.3475783475783476
249,1.12,Ideal,G,SI1,62.0,55.0,0.31908831908831914
250,0.92,Ideal,E,VS1,62.6,57.0,0.26210826210826216
251,0.46,Ideal,G,IF,62.1,56.0,0.13105413105413108
252,0.8,Good,F,SI1,63.8,59.0,0.22792022792022795
253,1.13,Ideal,E,SI2,61.8,57.0,0.32193732193732194
254,1.0,Premium,E,SI1,59.1,58.0,0.2849002849002849
255,0.43,Premium,E,VVS2,60.8,57.0,0.1225071225071225
256,0.31,Ideal,G,VS1,62.4,55.0,0.08831908831908833
257,0.7,Very Good,I,SI1,63.0,56.0,0.19943019943019943
258,0.34,Premium,H,VVS1,61.2,58.0,0.09686609686609687
259,1.52,Ideal,E,VS2,62.4,55.0,0.4330484330484331
260,1.08,Premium,G,VS2,60.1,59.0,0.3076923076923077
261,1.0,Premium,G,SI1,60.5,61.0,0.2849002849002849
262,0.54,Ideal,G,VS1,62.3,55.0,0.15384615384615385
263,0.8,Very Good,E,VS1,62.4,54.0,0.22792022792022795
264,0.31,Ideal,F,VS1,62.4,55.0,0.08831908831908833
